-4.50,1.50,0.00,0.00,3.60,3.57,0.44
-4.50,3.50,0.00,0.06,4.33,3.57,2.44
0.50,-1.00,0.00,0.00,2.51,1.43,2.06
2.50,1.00,0.00,0.00,3.43,3.43,0.06
-2.50,-1.00,0.00,0.00,2.59,1.57,2.06
2.50,4.00,0.00,0.00,4.52,3.43,2.94
-4.50,1.00,0.00,0.00,3.57,3.57,0.06
2.00,0.00,0.00,0.00,3.12,2.93,1.06
1.50,-0.50,0.00,0.00,2.89,2.43,1.56
2.00,5.00,0.00,0.00,4.91,2.93,3.94
-4.00,0.00,0.00,0.00,3.25,3.07,1.06
-3.50,-0.50,0.00,0.00,3.00,2.57,1.56
3.00,2.50,0.00,0.00,4.19,3.93,1.44
-1.00,-1.50,0.00,0.00,2.56,0.07,2.56
3.00,2.00,0.00,0.00,4.04,3.93,0.94
1.00,-1.00,0.00,0.00,2.82,1.93,2.06
2.50,0.50,0.00,0.00,3.48,3.43,0.56
-0.50,-1.50,0.00,0.00,2.59,0.43,2.56
-1.50,-1.50,0.00,0.00,2.62,0.57,2.56
3.00,3.00,0.00,0.00,4.38,3.93,1.94
2.50,4.50,0.00,0.00,4.86,3.43,3.44
-3.00,-1.00,0.00,0.00,2.92,2.07,2.06
-4.50,0.50,0.00,0.00,3.61,3.57,0.56
-4.50,4.50,0.00,0.00,4.96,3.57,3.44
3.00,1.50,0.00,0.00,3.96,3.93,0.44
0.00,-1.50,0.00,0.00,2.72,0.93,2.56
3.00,3.50,0.00,0.00,4.63,3.93,2.44
-2.00,-1.50,0.00,0.00,2.77,1.07,2.56
-5.00,1.50,0.00,0.00,4.09,4.07,0.44
2.00,-0.50,0.00,0.00,3.32,2.93,1.56
-4.00,-0.50,0.00,0.00,3.44,3.07,1.56
0.50,-1.50,0.00,0.00,2.93,1.43,2.56
3.00,1.00,0.00,0.00,3.93,3.93,0.06
3.00,4.00,0.00,0.00,4.91,3.93,2.94
-2.50,-1.50,0.00,0.00,3.00,1.57,2.56
1.50,-1.00,0.00,0.00,3.18,2.43,2.06
2.50,0.00,0.00,0.00,3.59,3.43,1.06
-5.00,1.00,0.00,0.00,4.07,4.07,0.06
2.50,5.00,0.00,0.00,5.23,3.43,3.94
-3.50,-1.00,0.00,0.00,3.29,2.57,2.06
-4.50,0.00,0.00,0.00,3.72,3.57,1.06
1.00,-1.50,0.00,0.00,3.20,1.93,2.56
3.00,0.50,0.00,0.00,3.97,3.93,0.56
3.00,4.50,0.00,0.00,5.23,3.93,3.44
-3.00,-1.50,0.00,0.00,3.29,2.07,2.56
3.50,2.50,0.00,0.00,4.66,4.43,1.44
-5.00,0.50,0.00,0.00,4.11,4.07,0.56
-1.00,-2.00,0.00,0.00,3.06,0.07,3.06
3.50,3.00,0.00,0.00,4.84,4.43,1.94
-0.50,-2.00,0.00,0.00,3.09,0.43,3.06
3.50,2.00,0.00,0.00,4.53,4.43,0.94
-5.50,2.50,0.00,0.00,4.79,4.57,1.44
-1.50,-2.00,0.00,0.00,3.11,0.57,3.06
-5.50,2.00,0.00,0.00,4.67,4.57,0.94
-5.50,3.00,0.00,0.00,4.97,4.57,1.94
2.50,-0.50,0.00,0.00,3.77,3.43,1.56
0.00,-2.00,0.00,0.00,3.20,0.93,3.06
3.50,1.50,0.00,0.00,4.45,4.43,0.44
2.00,-1.00,0.00,0.00,3.58,2.93,2.06
3.50,3.50,0.00,0.00,5.06,4.43,2.44
-2.00,-2.00,0.00,0.00,3.24,1.07,3.06
-4.00,-1.00,0.00,0.00,3.70,3.07,2.06
-4.50,-0.50,0.00,0.00,3.89,3.57,1.56
-5.50,1.50,0.00,0.00,4.59,4.57,0.44
-5.50,3.50,0.00,0.00,5.18,4.57,2.44
1.50,-1.50,0.00,0.00,3.53,2.43,2.56
3.00,0.00,0.00,0.00,4.07,3.93,1.06
